OBJECTID,objectid_old,billboard_tag_no,billboard_owner,billboard_owner_tag_no,system_number,district,route,county_milepost,cumulative_milepost,county,jurisdiction,status,reason,nhs,type,direction_of_travel,number_of_faces,illuminated,changeable,electronic_variable,condition,feet_from_row,zoning,property_owner,property_address,emergency_contact,x,y,excluded_type,inspected,created_user,created_date,last_edited_user,last_edited_date,x1,y1,globalid_1
86,197.0,00359,The Lamar Companies,,25.0,2.0,IR-80,15.67,,Washoe County,City,Conforming,,Interstate,Single Face,Westbound,1.0,Yes,No,No,Good,400.0,Unzoned Commercial,Anthony Cordi,,,-119.7741527,39.5355347,Other,,TJSmith@dot.nv.gov,1568057172000.0,jroberts2@dot.nv.gov,1575491349000.0,-119.7741527,39.5355347,{65D1E08B-402B-4CCD-B94C-2E35289985B6}
96,126.0,03671,Stott Outdoor Advertising,,604.0,2.0,IR 80 E,12.97,,Pershing County,,,,,,,1.0,No,No,,,,Zoned Commercial,Santa Fe Pacific Realty Co,,,-118.5208029,40.12826732,Other,,TJSmith@dot.nv.gov,1568057172000.0,TJSmith@dot.nv.gov,1568057172000.0,-118.5208029,40.12826732,{586F19BE-29F5-4AE8-A4D1-2C9B156613D7}
100,252.0,00332,The Lamar Companies,,18.0,2.0,IR-80,20.01,,Washoe County,City,Conforming,,Interstate,Single Face,Eastbound,1.0,Yes,No,No,Average,5.0,,Southern Pacific Trans Co.,,,-119.6947808,39.52426205,Other,,TJSmith@dot.nv.gov,1568057172000.0,jroberts2@dot.nv.gov,1574700073000.0,-119.6947808,39.52426205,{227689E7-F403-4721-860F-408C4606E337}
102,316.0,Excluded,,,,2.0,,,,Lyon County,,,,,,,,,,,,,,,,,-119.243606,39.57538631,Illegal,,TJSmith@dot.nv.gov,1568057172000.0,TJSmith@dot.nv.gov,1568057172000.0,-119.243606,39.57538631,{E0933D0F-A8CD-4FA5-8C9F-3541ACE91460}
103,67.0,03204,Areana Outdoor Inc,,329.0,2.0,IR-80,3.98,,Lyon County,County,Conforming,,Interstate,Single Face,,1.0,Yes,No,No,Average,30.0,Zoned Commercial,Sonterra Development Co LLC,,,-119.2113678,39.61673559,Other,,TJSmith@dot.nv.gov,1568057172000.0,BSlobe@dot.nv.gov,1574808354000.0,-119.2113678,39.61673559,{037A459F-817F-43EF-BFC9-1D795B82BA1E}
104,178.0,04812,The Lamar Companies,26152,1520.0,2.0,IR-580,20.14,,Washoe County,City,Conforming,,Interstate,V-Type,Northbound,2.0,Yes,No,No,Good,15.0,Unzoned Commercial,Dave Harvey,,,-119.7829959,39.45836532,Other,,TJSmith@dot.nv.gov,1568057172000.0,jroberts2@dot.nv.gov,1574460341000.0,-119.7829959,39.45836532,{543C7111-8081-43EF-A34C-3E4D34412D9E}
106,241.0,03633,The Lamar Companies,026042,580.0,2.0,IR-80,16.99,,Washoe County,City,Conforming,,Interstate,V-Type,Eastbound,2.0,Yes,Yes,Yes,Good,100.0,Zoned Commercial,Time Oil Co. ,,,-119.7491457,39.53401223,Other,,TJSmith@dot.nv.gov,1568057172000.0,jroberts2@dot.nv.gov,1574699008000.0,-119.7491457,39.53401223,{AC5DB025-CDA4-46A7-BED9-41EA9180513C}
107,17.0,02210,Reagan Outdoor,306,131.0,2.0,US 50,14.61,,Carson City,City,Conforming,,Interstate Highway,Single Face,Westbound,1.0,Yes,No,No,Good,3.0,Unzoned Commercial,Artistic Fence Co,,,-119.7019086,39.18985077,Other,,TJSmith@dot.nv.gov,1568057172000.0,BSlobe@dot.nv.gov,1574198779000.0,-119.7019086,39.18985077,{B74D2020-51F9-45A3-BA3F-2C39516C9C9C}
108,325.0,Excluded,,,,2.0,,,,Lyon County,,,,,,,,,,,,,,,,,-119.1308246,38.99795838,Illegal,,TJSmith@dot.nv.gov,1568057172000.0,TJSmith@dot.nv.gov,1568057172000.0,-119.1308246,38.99795838,{59F0B4EF-16C3-4D4A-A64B-3AA8996C55B8}
111,224.0,02423,Eldorado Resorts LLC,,151.0,2.0,IR-80,12.14,,Washoe County,City,Conforming,,Interstate,Single Face,Eastbound,1.0,Yes,No,No,Average,75.0,Zoned Commercial,John Lazouol,,,-119.835671,39.52684777,Other,,TJSmith@dot.nv.gov,1568057172000.0,jroberts2@dot.nv.gov,1573675114000.0,-119.835671,39.52684777,{9B953856-6638-46CA-AEF2-19FE244F9CAF}
115,3067.0,03067,Budget Inn - Raj Bhakta,,278.0,2.0,US 95,27.38,,Churchill County,County,Conforming,,Interstate Highway,Single Face,Northbound,1.0,No,No,No,Average,0.0,Zoned Commercial,J J Barry,"1138 Lovelock Highway, Fallon, NV, 89406",,-118.7724124,39.49133325,Other,,TJSmith@dot.nv.gov,1568057172000.0,jroberts2@dot.nv.gov,1572623721000.0,-118.7724124,39.49133325,{1E10F4A5-A816-4661-828B-1707FCCF6FB9}
124,69.0,03371,Areana Outdoor Inc,,422.0,2.0,IR-80,4.19,,Lyon County,County,Conforming,,Interstate,Single Face,,1.0,Yes,No,No,Average,30.0,Zoned Commercial,Blair & Associates,,,-119.2087559,39.61867233,Other,,TJSmith@dot.nv.gov,1568057172000.0,BSlobe@dot.nv.gov,1574808165000.0,-119.2087559,39.61867233,{59233E3B-140D-43A1-BAF6-0FC80FBEE7C7}
129,12.0,04994,Lamar,5304E,1682.0,2.0,US 50,13.6,,Carson City,City,Conforming,,Interstate Highway,Back to Back,,2.0,Yes,No,No,Good,2.0,Unzoned Commercial,Bauer Herman C & H & E Trust,,,-119.7182154,39.18303434,Other,,TJSmith@dot.nv.gov,1568057172000.0,BSlobe@dot.nv.gov,1574198279000.0,-119.7182154,39.18303434,{1A708214-AC3A-411B-994E-40D7A483B0A9}
135,42.0,03221,Gas Station Property LLC,,336.0,2.0,US 50,20.67,,Churchill County,City,Conforming,,Interstate Highway,Single Face,Eastbound,1.0,No,No,No,Good,80.0,Unzoned Commercial,R Cowan,"1 S Maine St, Fallon, NV, 89406",,-118.7768698,39.47455534,Other,,TJSmith@dot.nv.gov,1568057172000.0,jroberts2@dot.nv.gov,1572548143000.0,-118.7768698,39.47455534,{4912AEC1-FF1D-493D-AD00-1348BE47321D}
137,90.0,04165,Stott Outdoor Engineering,NA,1027.0,2.0,US 50,26.34,,Lyon County,County,Conforming,,Interstate Highway,Back to Back,,2.0,No,No,No,Good,10.0,Unzoned Commercial,Luanne Dickson-Gallagher,,,-119.2765511,39.39774898,Other,Yes,TJSmith@dot.nv.gov,1568057172000.0,,1644444164000.0,-119.2765511,39.39774898,{95CB3980-DC03-4ACE-A9A7-32F05E3156E3}
141,139.0,04133,Stott Outdoor Advertising,NA ,995.0,2.0,IR-80,19.05,,Pershing County,County,Conforming,,Interstate,Back to Back,Eastbound,2.0,Yes,No,No,Average,80.0,Unzoned Commercial,Joe Popejoy,,,-118.4480175,40.19270574,Other,,TJSmith@dot.nv.gov,1568057172000.0,BSlobe@dot.nv.gov,1574797077000.0,-118.4480175,40.19270574,{7ADE5574-6465-4258-9ED8-3561A223FF00}
146,193.0,02238,The Lamar Companies,000891,134.0,2.0,IR-80,16.12,,Washoe County,City,Conforming,,Interstate,Back to Back,Westbound,2.0,Yes,No,No,Good,75.0,Unzoned Commercial,H H Byrne,,,-119.7653,39.53458575,Other,,TJSmith@dot.nv.gov,1568057172000.0,jroberts2@dot.nv.gov,1575490505000.0,-119.7653,39.53458575,{437F3CCE-53D4-4BB0-9EDF-07FF54559AAE}
147,271.0,01062,Outfront Media,04130A,66.0,2.0,US 395,34.08,,Washoe County,County,Conforming,,Interstate,Single Face,Southbound,1.0,Yes,No,No,Average,5.0,Unzoned Commercial,Wilfon George K Trustee,,,-119.8774744,39.61773397,Other,,TJSmith@dot.nv.gov,1568057172000.0,jroberts2@dot.nv.gov,1574375439000.0,-119.8774744,39.61773397,{1E454613-564C-40DD-8EB4-19CE0DB3820F}
152,64.0,03793,Yesco Outdoor Media,51075,694.0,2.0,IR-80,3.03,,Lyon County,County,Conforming,,Interstate,Back to Back,Westbound,2.0,Yes,No,No,Average,30.0,Unzoned Commercial,Galen & Margarett Hines,,,-119.2291647,39.61455768,Other,,TJSmith@dot.nv.gov,1568057172000.0,BSlobe@dot.nv.gov,1574809091000.0,-119.2291647,39.61455768,{109D03DA-B202-41ED-97CC-02D7F4389FA5}
157,207.0,03015,Donnalee Alldredge,E6,255.0,2.0,IR-80,2.64,,Washoe County,County,Conforming,,Interstate,Back to Back,,2.0,Yes,No,No,Average,25.0,Unzoned Commercial,Melba Alldredge,"365 I-80 BL, Reno, NV, 89439",,-119.998695,39.50416907,Other,,TJSmith@dot.nv.gov,1568057172000.0,jroberts2@dot.nv.gov,1573670643000.0,-119.998695,39.50416907,{A6E7BF2E-083A-4683-B4CA-0D98A4FA6434}
159,74.0,01782,"Sagebrush, LLC",NA,117.0,2.0,US 50,0.83,,Lyon County,County,Conforming,,Interstate Highway,Back to Back,Eastbound,2.0,No,No,No,Average,0.0,Zoned Commercial,Julios Bunkowski,,,-119.6682315,39.21412627,Other,,TJSmith@dot.nv.gov,1568057172000.0,,1641925335000.0,-119.6682315,39.21412627,{0097B31A-D75B-4ED0-92AB-2614A1213C76}
162,163.0,04663,Yesco Outdoor Media,,1506.0,2.0,IR-580,24.34,,Washoe County,City,Conforming,,Interstate,V-Type,Southbound,2.0,Yes,No,No,Good,100.0,Unzoned Commercial,Pestana Family Trust,,,-119.783597,39.5176528,Other,,TJSmith@dot.nv.gov,1568057172000.0,jroberts2@dot.nv.gov,1574447669000.0,-119.783597,39.5176528,{A08F733E-F15E-4AC2-AB51-097B4E9F20D2}
166,71.0,03317,The Lamar Companies,,385.0,2.0,IR-80,4.38,,Lyon County,County,Conforming,,Interstate,Single Face,Westbound,1.0,Yes,No,No,Average,15.0,Unzoned Commercial,Blair & Associates,,,-119.2059637,39.62074479,Other,,TJSmith@dot.nv.gov,1568057172000.0,BSlobe@dot.nv.gov,1574808116000.0,-119.2059637,39.62074479,{9D983BCB-A21E-419F-81B0-26E000710DD2}
167,246.0,03873,Outfront Media,66146B,757.0,2.0,IR-80,18.19,,Washoe County,City,Conforming,,Interstate,V-Type,Eastbound,2.0,Yes,No,No,Good,50.0,Zoned Commercial,Southern Pacific Trans Co.,,,-119.728181,39.52911697,Other,,TJSmith@dot.nv.gov,1568057172000.0,jroberts2@dot.nv.gov,1574699485000.0,-119.728181,39.52911697,{2E9D079B-20AB-4783-B0C6-13BDAB3C7A65}
169,2.0,04631,Rogers Media Company,,1474.0,2.0,US 50,6.61,,Carson City,City,Conforming,,Interstate Highway,Back to Back,Eastbound,2.0,Yes,No,No,Good,40.0,Unzoned Commercial,Bill Kugler,,,-119.7835675,39.11421294,Other,,TJSmith@dot.nv.gov,1568057172000.0,BSlobe@dot.nv.gov,1574192482000.0,-119.7835675,39.11421294,{9333FB66-E6CB-44C0-958B-12B273A90C90}
171,72.0,02787,,,198.0,2.0,IR-80,5.58,,Lyon County,County,Conforming,,Interstate,Single Face,Westbound,1.0,No,No,No,Average,60.0,,James Johnson,,,-119.192703,39.63046077,Other,,TJSmith@dot.nv.gov,1568057172000.0,BSlobe@dot.nv.gov,1574807714000.0,-119.192703,39.63046077,{3A271BDC-D996-4BD8-A50B-432AB5E7923C}
173,41.0,03542,Fallon/Churchill Fire Dept,,519.0,2.0,US 50,20.56,,Churchill County,City,Conforming,,Interstate Highway,Back to Back,Westbound,2.0,Yes,No,No,Good,9.0,Unzoned Commercial,Churchill County,"20 N Carson St, Fallon, NV, 89406",,-118.7781502,39.4750184,Other,,TJSmith@dot.nv.gov,1568057172000.0,,1641860752000.0,-118.7781502,39.4750184,{B3579B00-37C6-4E58-A3ED-074D0B141DFE}
174,186.0,04823,Sierra Displays,07100S,1531.0,2.0,IR-580,24.01,,Washoe County,City,Conforming,,Interstate,V-Type,,2.0,Yes,Yes,No,Good,5.0,Zoned Commercial,Linda Draper,,,-119.7809588,39.51343932,Other,,TJSmith@dot.nv.gov,1568057172000.0,jroberts2@dot.nv.gov,1574461624000.0,-119.7809588,39.51343932,{431AD98F-9FFD-4669-8A4E-04FCD39D8B23}
176,177.0,04967,Saunders Outdoor Advertising,213,1655.0,2.0,IR-580,19.94,,Washoe County,City,Conforming,,Interstate,V-Type,Northbound,2.0,Yes,No,No,Good,30.0,Unzoned Commercial,Nev-Ida Properties,,,-119.7816658,39.45570966,Other,,TJSmith@dot.nv.gov,1568057172000.0,jroberts2@dot.nv.gov,1574460236000.0,-119.7816658,39.45570966,{6A74E5E0-A0F8-4521-BA43-39E0CAF065BA}
180,247.0,03871,Outfront Media,66148B,755.0,2.0,IR-80,18.29,,Washoe County,City,Conforming,,Interstate,V-Type,Eastbound,2.0,Yes,No,No,Good,50.0,Zoned Commercial,Southern Pacific Trans Co.,,,-119.7263826,39.52894832,Other,,TJSmith@dot.nv.gov,1568057172000.0,jroberts2@dot.nv.gov,1574699537000.0,-119.7263826,39.52894832,{81FF00B3-7C38-46A8-9808-182E4FDFCE9F}
183,242.0,02835,The Lamar Companies ,510442,213.0,2.0,IR-80,17.28,,Washoe County,City,Conforming,,Interstate,Back to Back,Eastbound,2.0,Yes,No,No,Average,125.0,Zoned Commercial,John Carsten,,,-119.7435492,39.53391264,Other,,TJSmith@dot.nv.gov,1568057172000.0,jroberts2@dot.nv.gov,1574699120000.0,-119.7435492,39.53391264,{4B09636A-1788-41F8-B32C-341FF5CE1B2E}
188,54.0,04686,GP Global,,5661.0,2.0,US 50A,0.35,,Churchill County,County,Conforming,,Interstate Highway,Back to Back,Eastbound,2.0,Yes,No,No,Good,10.0,Zoned Industrial,Rene Reid,,,-119.0851499,39.5668403,Other,,TJSmith@dot.nv.gov,1568057172000.0,jroberts2@dot.nv.gov,1574706024000.0,-119.0851499,39.5668403,{A59451A0-97F7-4610-ADE4-1FF6F760576D}
191,3222.0,03222,Sierra Displays,,337.0,2.0,US 95,26.42,,Churchill County,City,Conforming,,Interstate Highway,Back to Back,Southbound,2.0,No,No,No,Good,3.0,Zoned Commercial,Kent I H Co,"241 N Maine St, Fallon, NV, 89406",,-118.7771424,39.47810781,Other,,TJSmith@dot.nv.gov,1568057172000.0,jroberts2@dot.nv.gov,1572623672000.0,-118.7771424,39.47810781,{400F27CE-E6C9-4410-AE3B-48A72224D171}
192,103.0,00305,Michael or Laura Ethridge,,7.0,2.0,US 50,24.08,,Lyon County,County,Conforming,,Interstate Highway,Single Face,Northbound,1.0,No,No,No,Good,15.0,Unzoned Commercial,Michael or Laura Ethridge,"1380 E Hwy 50, Silver Springs, NV",775-720-3223,-119.2237418,39.4173809,Other,,TJSmith@dot.nv.gov,1568057172000.0,,1643753532000.0,-119.2237418,39.4173809,{919D0D4B-1A3F-46B5-90E4-4842EB33BA9F}
204,174.0,04612,Saunders Outdoor Advertising,,1455.0,2.0,IR-580,19.08,,Washoe County,City,Conforming,,Interstate,V-Type,Southbound,2.0,Yes,No,No,Good,15.0,Unzoned Commercial,Farahi Investments Co,,,-119.7716579,39.44683697,Other,,TJSmith@dot.nv.gov,1568057172000.0,jroberts2@dot.nv.gov,1574450190000.0,-119.7716579,39.44683697,{9BEAB3EE-4B97-4DE2-8ADB-246BC8002FDC}
209,4.0,00798,Outfront Media,069014,50.0,2.0,US 50,7.28,,Carson City,City,Conforming,,Interstate Highway,Single Face,Westbound,1.0,Yes,No,No,Good,100.0,Unzoned Commercial,Carl Norris,,,-119.7741954,39.12081176,Other,,TJSmith@dot.nv.gov,1568057172000.0,BSlobe@dot.nv.gov,1574190986000.0,-119.7741954,39.12081176,{2C57D51C-0413-45DD-AE93-08CE4B166B03}
212,257.0,00330,The Lamar Companies,003752,16.0,2.0,IR-80,26.5,,Washoe County,County,Conforming,,Interstate,Back to Back,Westbound,2.0,Yes,No,No,Good,10.0,,MCCarran MP Sister,,,-119.5957936,39.54352307,Other,,TJSmith@dot.nv.gov,1568057172000.0,jroberts2@dot.nv.gov,1575487694000.0,-119.5957936,39.54352307,{23A7E716-76F6-4ADB-848E-44ACDFD4A45D}
218,222.0,02578,Outfront Media,,165.0,2.0,IR-80,11.14,,Washoe County,City,Non-conforming,Accessing from ROW ,Interstate,Single Face,Eastbound,1.0,Yes,No,No,Average,5.0,Unzoned Commercial,NA,,,-119.8542492,39.52616373,Other,,TJSmith@dot.nv.gov,1568057172000.0,jroberts2@dot.nv.gov,1573674564000.0,-119.8542492,39.52616373,{79EABDD8-3AD0-4459-AF54-43A893D66267}
226,1.0,04941,The Lamar Companies ,,1630.0,2.0,US 395,0.07,,Carson City,City,Conforming,,Interstate Highway,Back to Back,Northbound,2.0,No,No,No,Good,80.0,Unzoned Commercial,Western States Storage,,,-119.7724354,39.11401977,Other,,TJSmith@dot.nv.gov,1568057172000.0,jroberts2@dot.nv.gov,1575570713000.0,-119.7724354,39.11401977,{161E1C09-141E-47A5-AE8F-3B0FFAFB02FB}
231,206.0,03319,Riverhouse Holdings LLC,,387.0,2.0,IR-80,2.3,,Washoe County,County,Conforming,,Interstate,Back to Back,Eastbound,2.0,Yes,No,No,Average,30.0,Unzoned Commercial,Moya Lear,"I 80 E, Reno, NV, 89439",,-119.9979044,39.49925687,Other,,TJSmith@dot.nv.gov,1568057172000.0,jroberts2@dot.nv.gov,1573670330000.0,-119.9979044,39.49925687,{97D6A328-BF12-41E8-90D2-346C4235321A}
233,86.0,03789,Sbragia Enterprises,NA,691.0,2.0,US 50,5.61,,Lyon County,County,Conforming,,Interstate Highway,Stacked,Eastbound,1.0,No,No,No,Good,,Unzoned Commercial,Sbragia Enterprises,70 US-50 Dayton,,-119.5890014,39.23674043,Other,,TJSmith@dot.nv.gov,1568057172000.0,,1642179647000.0,-119.5890014,39.23674043,{1C4D9B56-0EA6-49B7-8343-46BC5DE93E84}
