OBJECTID_CITY,LVBOARDS_,LVBOARDS_I,LON,LAT,SIGN_TYPE,STREET_NUM,STREET_DIR,STREET_NAM,PARCEL,PARCELOLD,APPLICANT,Pin Color Code,Pin Title ,SIGN_AREA,SIGN_HEIGH,TAG_NUM,APPLY_DATE,NOTES_SUP,NOTES_VAR,NOTES_RQR,NOTES,SIZE_,FIELD_CHEC,FREEWAY,APP_FIN,WARD_CITY,OWNER_MATCH_TYPE,OWNER_MATCH_CONFIDENCE,OWNER_MATCH_NOTES,OBJECTID_1,CALC_ACRES,ASSR_ACRES,LABEL_CLAS,PARCELTYPE,PRCLID,PRCLKEY,PRCLVER,PCLBOOK,PCLSEC,PCLPAGE,PCLSUBD,PCLNO,TAXDIST_SP,FDPHANTOM,FIREMAPNO,CENTRACT,SHAPE_LENG,PRECINCT,COMMISSION,ASSEMBLY,SENATE,CONGRESS,TAZ,AREA,PERIMETER,WARD_PARCEL,CNTY_IS,SHADE,ACRES,SQ_MILES,ZIP,OBJECTID_PARCEL,TAXDIST,OWNER,ADDRESS1,ADDRESS2,ADDRESS3,ADDRESS4,ADDRESS5,NAMETAG,ZIPCODE,COMNAME,STRNO,STRFRAC,STRDIR,STRNAME,STRTYPE,STRCITY,STRUNIT,COMMENT1,COMMENT2,FIXD,SUBTAG,LEGAL1,LEGAL2,LEGAL3,LEGAL4,LEGAL5,LEGAL6,ASSDYR,CONSTYR,DOCDATE,FILLER1,DOCNO,DOCMULTI,DOCVEST,SALEPRICE,SALETYPE,SALEDATE,PORTION,BK1,BK2,SECTNO,TOWNSHIP,RANGE,LANDUSE,CAPACITY,LANDCD1,LANDACRE1,LANDVAL1,LANDCD2,LANDACRE2,LANDVAL2,IMPVAL,PRCD1,PRVAL1,PRCD2,PRVAL2,PRCD3,PRVAL3,EXMPCD,EXMPVAL,LYACRES,LYLNDVAL,LYIMPVAL,LYPPVAL,LYEXCD,LYEXVAL,LY2ACRES,LY2LNDVAL,LY2IMPVAL,LY2PPVAL,LY2EXCD,LY2EXVAL,OWNERNUM,OWNERDEN,ETALFLAG,UPDDATE,LASTUPDATE,LOTSQFT,OLDPARCEL,INACTPCL,INACTREF,FILLER2,PCLBOOK3,PCL5,PCL6,PCL8,OLDBOOK,OLDPCL,OLDPAGE,OLDLOT,OLDFILL,ZIPMAIN,ZIPLUS4,LOCATION,STR,ADBOOK,ADPAGE,ADDR_OWN,ADDRESS,INACTNEWPC,LUCODE,SHAPE_LE_1,Shape__Area,Shape__Length
56,67,25,-115.1621848,36.15305371, ,1508,S,Western,16204602012,16204602010, ,Green,UK,672,0,0, , ,V-93-91,V-93-91(1), ,14x48,1,750, ,3,SPATIAL,MEDIUM,Matched via spatial intersect (buffered point),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89102,,200,GRANT PROPERTIES L V L L C,,,,,,,,,1514,,,WESTERN,AVE,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,360000,,,,589376,,,,203246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001514     WESTERN               AVE,,,,,
57,68,30,-115.162819,36.15235283, ,1604,W,Oakey,16204602009,16204602009, ,Green,UK,672,40,0, , , , ,DONREY,14x48,1,750, ,3,APN,HIGH,Matched via APN/PARCEL exact join,429432,0,2.12,701,0,16204602009,701,701,162,04,6,02,009,212,2524-46,2524,204,18398.81093,5562,E,15,10,4,558,,150972.2077,3,0,57,8235.233709,12.86755267,89102,438324,212,STATE OF NEVADA TRANSPORTATION,C/O STAFF SPECIALIST - ACQ,1263 S STEWART ST,CARSON CITY NV 89712, , , ,897120000, ,1604, ,W,OAKEY,BLVD,LV, ,C-20161205:3039, ,00000000, ,PT S2 NE4 SEC 4-21-61, , , , , ,2027,1965,20160125, ,2.01601E+12, ,NS,0, , , , , ,04,21,61,358000,1, ,2,799956, ,0,0,4507, ,0, ,0, ,0,55,804463,0,763756,4410,0, ,768166,0,0,0,0, ,0,0,0,N,20231117,20231117,0, ,16204602009,0, ,162,16204,162046,16204602,162,162046020,046,020,09,89712,0,001604   W OAKEY                 BLVDL,0421  61,0000,0000,STATE OF NEVADA TRANSPORTATION  C/O STAFF SPECIALIST - ACQ      1263 S STEWART ST               CARSON CITY NV 89712,001604   W OAKEY                 BLVD, ,358,1752.603966,94805.87695,1752.6039657965157
60,71,28,-115.1663556,36.14893567, ,2002, ,Highland,16204301009,16204301008,Clear Channel Outdoor,Red,CC,672,65,0, , ,V-26-88,RQR-35243; 21344; 6150; 1704, ,14x48,1,750, ,3,SPATIAL,MEDIUM,Matched via spatial intersect (buffered point),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89102,,212,STATE OF NEVADA (TRANSPORTATION),,,,,,,,,2056,,,HIGHLAND,AVE,,,,,,,,,,,,,,,,,,,,240000,,19970901,,,,,,,0,,,,95592,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002056     HIGHLAND              AVE,,,,,
61,74,14,-115.174236,36.14001324, ,2801,W,Westwood,16208604001,16208604001,LAMAR,Orange,LM,672,55,0, , ,VAR-4733, ,L-4119-04,14x48,1,750, ,1,APN,HIGH,Matched via APN/PARCEL exact join,528656,0,1.27,701,0,16208604001,701,701,162,08,6,04,001,200,2623-39,2623,2201,24882.77491,5014,E,15,10,1,606,,150972.2077,3,0,57,8235.233709,12.86755267,89109,444836,200,D 2801 WESTWOOD INC,PO BOX 570413,HOUSTON TX 77257-0413, , , , ,772570413, ,2801, , ,WESTWOOD,DR,LV, , , ,PM00270014        L3, ,PARCEL MAP FILE 27 PAGE 14,LOT 3, , , , ,2027,2003,20010329, ,2.00103E+12, ,NS,2000000,R,20010301, , , ,08,21,61,360000,1, ,1,367885, ,0,0,1515290, ,0, ,0, ,0, ,0,0,348522,1552473,0, ,0,0,0,0,0, ,0,0,0,N,20231117,20231117,0, ,16208604001,0, ,162,16208,162086,16208604,162,162086040,086,040,01,77257,413,002801     WESTWOOD              DR  L,0821  61,0027,0014,D 2801 WESTWOOD INC             PO BOX 570413                   HOUSTON TX 77257-0413,002801     WESTWOOD              DR, ,360,941.9824933,53601.85547,941.9824932969696
62,75,15,-115.1751744,36.13886899, ,0, , ,16208699007,16208604002, ,Green,UK,672,0,0, , , , ,DONREY,14x48,1,750, ,1,NONE,NONE,No parcel match (ROW/easement/geometry mismatch or missing APN/address),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89109,,212,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,76,22,-115.1812814,36.13046025, ,3260,S,Rancho,16208418002,16208401004,LAMAR,Orange,LM,672,70,0,11/30/1995,U-101-95, ,RQR-33287; RQR-5513, ,14x48,1,750, ,1,APN,HIGH,Matched via APN/PARCEL exact join,576074,0,14.72,807,0,16208418002,807,807,162,08,4,18,002,212,2623-85,2623,2201,24882.77491,6711,F,15,10,3,605,,150972.2077,3,0,57,8235.233709,12.86755267,89102,444713,212,INTEGRAL PTNRS PARK PL L V LLC,C/O FISHER BROTHERS,299 PARK AVE 42ND FL,NEW YORK NY 10171-4299, , , ,101714299, ,3215, ,S,RANCHO,DR,LV, ,C-20060301:385, ,PB01180022PT      L1, ,FLETCHER JONES IMPORTS PROPERTY,PLAT BOOK 118 PAGE 22,PT LOT 1, , , ,2027,2019,20051121, ,2.00511E+12, ,NS,50000000,R,20051101, , , ,08,21,61,200000,1, ,15,2378863, ,0,0,8417455, ,0, ,0, ,0, ,0,0,2154442,8390932,0, ,0,0,0,0,0, ,0,0,0,N,20231117,20231117,0, ,16208418001,0, ,162,16208,162084,16208418,162,162084180,084,180,02,10171,4299,003215   S RANCHO                DR  L,0821  61,0118,0022,INTEGRAL PTNRS PARK PL L V LLC  C/O FISHER BROTHERS             299 PARK AVE 42ND FL            NEW YORK NY 10171-4299,003215   S RANCHO                DR, ,200,3982.155665,641336.2813,3982.1556653848506
64,77,20,-115.1804538,36.13360173, ,2900,W,Sirus,16208899002,16208702002, ,Green,UK,672,40,0,6/15/1994, ,V-58-94, , ,14x48,1,750, ,1,NONE,NONE,No parcel match (ROW/easement/geometry mismatch or missing APN/address),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89102,,212,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,78,20,-115.1796256,36.13514288, ,2900,W,Sirus,16208710004,16208702002, ,Green,UK,672,40,0,8/11/1994,U-168-92,V-58-94,RQR-26324; RQR-1143, ,14x48,1,750, ,1,SPATIAL,MEDIUM,Matched via spatial intersect (buffered point),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89102,,212,F B L V DISTRICT 2 L L C,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000000,,,,,
66,79,18,-115.177916,36.13742486, ,2800,S,Rancho,16208602007,16208602006, ,Green,UK,672,65,0, , ,V-01-87,V-01-87(1)&(2),2 yr review has not been done,14x48,1,750, ,1,SPATIAL,MEDIUM,Matched via spatial intersect (buffered point),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89102,,213,NEW VEGAS D5 L L C,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,730000,,,,41165,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000000,,,,,
67,80,17,-115.1767814,36.13866126, ,2800,S,Rancho,16208610105,16208602006, ,Green,UK,672,65,0,12/4/1986, ,V-104-86, , ,14x48,1,750, ,1,ADDRESS,LOW,Matched via address best-effort (may be approximate),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89102,,213,NEW VEGAS D5 L L C,,,,,,,,,2800,,S,RANCHO,DR,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,345000,,,,1653430,,,,3602894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002800   S RANCHO                DR,,,,,
68,81,16,-115.1760005,36.13985223, ,2800,S,Rancho,16208610105,16208602006, ,Green,UK,672,65,0,12/7/1986, ,V-104-86, , ,14x48,1,750, ,1,SPATIAL,MEDIUM,Matched via spatial intersect (buffered point),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89102,,213,NEW VEGAS D5 L L C,,,,,,,,,2800,,S,RANCHO,DR,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,345000,,,,1653430,,,,3602894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002800   S RANCHO                DR,,,,,
69,82,19,-115.171648,36.14499738,AA,2320,S,RANCHO,16204412011,16204401004,Outfront,Brown,OF,672,90,719,1/19/1995, ,V-154-94,RQR-39424; RQR-24171; RQR-3705, ,14x48,1,750, ,1,SPATIAL,MEDIUM,Matched via spatial intersect (buffered point),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89102,,213,SAHARA RANCHO OFFICE CTR L L C,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,730000,,,,726002,,,,53295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000000,,,,,
70,83,30,-115.1606567,36.16448519, ,0, , ,13933799008,13933701005,LAMAR,Orange,LM,72,20,0, , , , , , ,1,750, ,5,NONE,NONE,No parcel match (ROW/easement/geometry mismatch or missing APN/address),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89106,,200,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,84,28,-115.1606122,36.16516967, ,0, , ,13933799008,13933701005, ,Green,UK,672,40,0, , , , ,DONREY,14x48,1,750, ,5,NONE,NONE,No parcel match (ROW/easement/geometry mismatch or missing APN/address),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89106,,200,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,85,26,-115.1599212,36.16759254, ,351,S,Martin L King,13933699009,13933601003,LAMAR,Orange,LM,672,40,0,5/31/1983, , , , ,14x48,1,750, ,5,NONE,NONE,No parcel match (ROW/easement/geometry mismatch or missing APN/address),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89106,,212,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,86,20,-115.159614,36.16987288, ,0, , ,13933501028,13933501012,Clear Channel Outdoor,Red,CC,288,0,0, ,U-159-89, ,RQR-31586;RQR-3732,SDR-71228, ,1,750, ,5,SPATIAL,MEDIUM,Matched via spatial intersect (buffered point),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89106,,203,UNITED WAREHOUSE L P ETAL,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,6861,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000000,,,,,
74,87,19,-115.1579286,36.17230619, ,275,S,Martin L. King,13933510009,13933510006,Clear Channel Outdoor,Red,CC,672,0,0, , , , , ,14x48,1,750, ,5,SPATIAL,MEDIUM,Matched via spatial intersect (buffered point),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89106,,203,CLARK COUNTY,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,29283,,20240501,,,,,,,358000,,,,48597,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000000,,,,,
75,88,20,-115.1579941,36.17364437,45,81,S,Martin L. King,13933510002,13933510002,Clear Channel Outdoor,Red,CC,672,0,0, , ,V-20-91,RQR-33830; V-20-91(1)&(2), ,14x48,1,750, ,5,APN,HIGH,Matched via APN/PARCEL exact join,62448,0,0,807,0,13933510002,807,807,139,33,5,10,002,203,2424-16,2424,301,35552.9138,4612,D,11,2,4,450,,161583.3057,1,0,83,11202.31054,17.50361022,89106,320542,203,CLARK COUNTY,C/O DIRECTOR ~ REAL PPTY MGMT,500 S GRAND CENTRAL PKWY 4TH FL,LAS VEGAS NV 89155, , , ,891550000, ,73, ,S,MARTIN L KING,BLVD,LV, , , ,PB00480089PT      L1, ,LEVITZ PLAZA,PLAT BOOK 48 PAGE 89,PT LOT 1, , , ,2027,1991,20250401, ,2.02504E+12, ,NS,14200000,R,20031001, , , ,33,20,61,358000,1, ,8,1028874, ,0,0,3521190, ,0, ,0, ,0,60,4550064,0,1028874,3586488,0, ,4615362,0,0,0,0, ,0,0,0,N,20240617,20240617,0, ,13933510001,0, ,139,13933,139335,13933510,139,139335100,335,100,02,89155,0,000073   S MARTIN L KING         BLVDL,3320  61,0048,0089,CLARK COUNTY                    C/O DIRECTOR ~ REAL PPTY MGMT   500 S GRAND CENTRAL PKWY 4TH FL LAS VEGAS NV 89155,000073   S MARTIN L KING         BLVD, ,358,2982.923997,356302.7363,2982.9239966612954
76,89,13,-115.1518641,36.17606738,45,720,W,Mesquite,13928802001,13928802001,LAMAR,Orange,LM,672,85,0, ,U-77-97, , , ,14x48,1,750, ,5,APN,HIGH,Matched via APN/PARCEL exact join,394528,0,3.91,701,0,13928802001,701,701,139,28,8,02,001,203,2324-89,2324,301,35552.9138,4030,D,6,4,4,416,,265026.2317,5,0,113,9805.190745,15.32061054,89106,314405,203,N V D D HOLDING R P 5 L L C,4830 E CARTIER AVE,LAS VEGAS NV 89115, , , , ,891150000, ,800, ,W,MESQUITE,AVE,LV, , , ,00000000, ,PT S2 SW4 SEC 27 20 61 & PT S2,SE4 SEC 28 20 61, , , , ,2027,1977,20140320, ,2.01403E+12, ,NS,2000000,R,20140301, , , ,28,20,61,210000,1, ,4,447090, ,0,0,182275, ,0, ,0, ,0, ,0,0,417284,185873,0, ,0,0,0,0,0, ,0,0,0,N,20240617,20240617,0, ,13928802001,0, ,139,13928,139288,13928802,139,139288020,288,020,01,89115,0,000800   W MESQUITE              AVE L,2820  61,0000,0000,N V D D HOLDING R P 5 L L C     4830 E CARTIER AVE              LAS VEGAS NV 89115,000800   W MESQUITE              AVE, ,210,1852.525454,168843.7617,1852.5254540558774
78,91,10,-115.1429288,36.18619704, ,1405,N,A St.,13927501003,10490008,LAMAR,Orange,LM,672,80,1322,1/31/1996, ,V-131-90,RQR-33286; RQR-5732, ,14x48,1,750, ,5,APN,HIGH,Matched via APN/PARCEL exact join,427516,0,3.0300000000000002,701,0,13927501003,701,701,139,27,5,01,003,214,2325-25,2325,301,35552.9138,4030,D,6,4,4,385,,265026.2317,5,0,113,9805.190745,15.32061054,89106,313013,214,EWING INVESTMENTS,1200 A ST,LAS VEGAS NV 89106-3215, , , , ,891063215, ,1405, , ,A,ST,LV, , , ,00000000, ,PT NW4 NE4 SEC 27 20 61, , , , , ,2027,1978,20050301, ,2.00503E+12, ,NS,2550000,R,20050301, , , ,27,20,61,378000,1, ,3,346466, ,0,0,473501, ,0, ,0, ,0, ,0,0,300271,483326,0, ,0,0,0,0,0, ,0,0,0,N,20231117,20231117,0, ,13927501003,0, ,139,13927,139275,13927501,139,139275010,275,010,03,89106,3215,001405     A                     ST  L,2720  61,0000,0000,EWING INVESTMENTS               1200 A ST                       LAS VEGAS NV 89106-3215,001405     A                     ST, ,378,1456.437536,130023.582,1456.437535653471
79,92,24,-115.1513382,36.17776055, ,616, ,H St.,13927310069,13927310069,Eagle,Pink,PO,672,85,0, , ,V-66-97,RQR-32901; V-66-97(1), ,14x48,1,750, ,5,APN,HIGH,Matched via APN/PARCEL exact join,539829,0,0,703,0,13927310069,703,703,139,27,3,10,069,203,2325-71,2325,301,35552.9138,4030,D,6,4,4,415,,265026.2317,5,0,113,9805.190745,15.32061054,89106,312921,203,SUN INVESTMENTS L L C,20551 CARANCHO RD,TEMECULA CA 92590-3958, , , , ,925903958, ,0, , , , ,LV, , , ,00000000, ,"ORIGINAL LVT LOTS 13,14 BLK 7", , , , , ,2027,0,20071106, ,2.00711E+12, ,NS,0, , , , , ,27,20,61,0,0, ,0,16007, ,0,0,0, ,0, ,0, ,0, ,0,0,12806,0,0, ,0,0,0,0,0, ,0,0,0,N,20240617,20240617,0, ,13927310069,0, ,139,13927,139273,13927310,139,139273100,273,100,69,92590,3958,000000                               L,2720  61,0000,0000,SUN INVESTMENTS L L C           20551 CARANCHO RD               TEMECULA CA 92590-3958,000000, ,0,347.1996967,6208.230469,347.1996966576719
80,93,15,-115.1527028,36.17680842,45,831,W,Bonanza,13928801020,13928801010,Clear Channel Outdoor,Red,CC,672,40,0, ,U-86-86, ,RQR-33344; U-86-86(1)&(2), ,14x48,1,750, ,5,ADDRESS,LOW,Matched via address best-effort (may be approximate),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89106,,203,Z3 P O L L C,,,,,,,,,831,,W,BONANZA,RD,,,,,,,,,,,,,,,,,,,,4000000,,20231101,,,,,,,365000,,,,169231,,,,313693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000831   W BONANZA               RD,,,,,
81,94,11,-115.2601937,36.18199971,AA,901,N,BUFFALO,13828620003,13828620001, ,Green,UK,672,40,0,6/19/1996, ,V-43-96,RQR-33738; V-43-96(1), ,14x48,1,750, ,4,APN,HIGH,Matched via APN/PARCEL exact join,316028,0,0.9,807,0,13828620003,807,807,138,28,6,20,003,200,2317-59,2317,3220,23975.80167,3762,C,34,6,3,373,,175071.7184,2,0,105,18966.19916,29.63468619,89128,254205,200,REBEL LAND & DEVELOPMENT L L C,C/O KE ANDREWS,2424 RIDGE RD,ROCKWALL TX 75087, , , ,750870000, ,901, ,N,BUFFALO,DR,LV, , , ,PB00620032PT      L1, ,ROCK SPRINGS VISTA COML,PLAT BOOK 62 PAGE 32,PT LOT 1, , , ,2027,1998,20151223, ,2.01512E+12, ,NS,2464500,R,20151201, , , ,28,20,60,365000,1, ,1,259335, ,0,0,332066, ,0, ,0, ,0, ,0,0,231617,336442,0, ,0,0,0,0,0, ,0,0,0,N,20231117,20231117,0, ,13828620001,0, ,138,13828,138286,13828620,138,138286200,286,200,03,75087,0,000901   N BUFFALO               DR  L,2820  60,0062,0032,REBEL LAND & DEVELOPMENT L L C  C/O KE ANDREWS                  2424 RIDGE RD                   ROCKWALL TX 75087,000901   N BUFFALO               DR, ,365,777.3514288,39393.77344,777.3514288341653
82,96,7,-115.2060971,36.20336962,AA,2401,N,DECATUR,13813801083,13813801083,LAMAR,Orange,LM,672,40,1029,7/21/1995,U-36-95, ,RQR-17764; RQR-4959, ,14x48,1,300, ,5,APN,HIGH,Matched via APN/PARCEL exact join,777619,0,0.63,701,0,13813801083,701,701,138,13,8,01,083,200,2121-99,2121,3427,15093.99431,4000,D,3,3,4,294,,265026.2317,5,0,113,9805.190745,15.32061054,89108,216381,200,FOSTER-DAY CORP,C/O R FOSTER,2560 RED ARROW DR,LAS VEGAS NV 89135-1627, , , ,891351627, ,2401, ,N,DECATUR,BLVD,LV, , , ,00000000, ,PT SE4 SE4 SEC 13 20 60, , , , , ,2027,1981,19940131, ,1.99401E+12, ,NS,477000,R,19940101, , , ,13,20,60,370000,1, ,1,124866, ,0,0,45348, ,0, ,0, ,0, ,0,0,115261,46484,0, ,0,0,0,0,0, ,0,0,0,N,20231117,20231117,0, ,13813801083,0, ,138,13813,138138,13813801,138,138138010,138,010,83,89135,1627,002401   N DECATUR               BLVDL,1320  60,0000,0000,FOSTER-DAY CORP                 C/O R FOSTER                    2560 RED ARROW DR               LAS VEGAS NV 89135-1627,002401   N DECATUR               BLVD, ,370,654.4848822,27997.83984,654.4848821560075
83,97,5,-115.205081,36.20247391,AA,2390,N,DECATUR,13919101001,13919101001,LAMAR,Orange,LM,672,40,505,9/21/1994,U-173-94, ,RQR-31834;U-173-94(1), ,14x48,1,300, ,5,APN,HIGH,Matched via APN/PARCEL exact join,43380,0,0.67,701,0,13919101001,701,701,139,19,1,01,001,200,2222-11,2222,3428,12854.37258,4000,D,3,3,4,315,,265026.2317,5,0,113,9805.190745,15.32061054,89108,297626,200,DHALAI AHMED,ABDULFATTAH NADYA,6574 AMERICAN BEAUTY AVE,LAS VEGAS NV 89142, , , ,891420000, ,2390, ,N,DECATUR,BLVD,LV, , , ,PM00510063        L1, ,PARCEL MAP FILE 51 PAGE 63,LOT 1, , , , ,2027,1988,20200930, ,2.02009E+12, ,NS-NS,1600000,R,20200901, , , ,19,20,61,358000,1, ,1,132792, ,0,0,136841, ,0, ,0, ,0, ,0,0,122577,139858,0, ,0,0,0,0,0, ,0,0,0,N,20231117,20231117,0, ,13919101001,0, ,139,13919,139191,13919101,139,139191010,191,010,01,89142,0,002390   N DECATUR               BLVDL,1920  61,0051,0063,DHALAI AHMED                    ABDULFATTAH NADYA               6574 AMERICAN BEAUTY AVE        LAS VEGAS NV 89142,002390   N DECATUR               BLVD, ,358,667.3390205,29100.57813,667.3390205283508
84,99,7,-115.2231,36.19591711, ,5910,W,Lake Mead,13824215008,13824215002, ,Green,UK,96,30,1276,12/28/1995, ,V-92-95,5 yr review has not been done,Burger King sign only, ,9,300, ,5,SPATIAL,MEDIUM,Matched via spatial intersect (buffered point),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89108,,200,L M JONES L L C,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,730000,,,,78973,,,,365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000000,,,,,
85,100,4,-115.2432543,36.15967919,AA,1060,S,RAINBOW,13834819014,13834819015,LAMAR,Orange,LM,672,40,0, ,U-0005-97, ,RQR-28937; RQR-14207; U-05-97(1),DIR-16647,14x48,1,300, ,1,APN,HIGH,Matched via APN/PARCEL exact join,171899,0,0.56,807,0,13834819014,807,807,138,34,8,19,014,213,2418-99,2418,3006,16870.76892,3007,C,34,6,4,521,,161583.3057,1,0,83,11202.31054,17.50361022,89107,265262,213,REBEL LAND & DEVELOPMENT L L C D,C/O KE ANDREWS,2424 RIDGE RD,ROCKWALL TX 75087, , , ,750870000, ,1080, ,S,RAINBOW,BLVD,LV, , , ,PB00560054PT      L1C, ,RAINBOW VISTA,PLAT BOOK 56 PAGE 54,PT LOT 1C,& PT LOT 2, , ,2027,1994,20151223, ,2.01512E+12, ,NS,693250,R,20151201, , , ,34,20,60,358000,1, ,1,213448, ,0,0,180447, ,0, ,0, ,0, ,0,0,204910,184220,0, ,0,0,0,0,0, ,0,0,0,N,20231117,20231117,0, ,13834819012,0, ,138,13834,138348,13834819,138,138348190,348,190,14,75087,0,001080   S RAINBOW               BLVDL,3420  60,0056,0054,REBEL LAND & DEVELOPMENT L L C DC/O KE ANDREWS                  2424 RIDGE RD                   ROCKWALL TX 75087,001080   S RAINBOW               BLVD, ,358,633.6501837,24313.21094,633.6501836687603
86,101,29,-115.239069,36.15891036, ,6611,W,Charleston,16302104001,16302104001,LAMAR,Orange,LM,672,40,1072,8/21/1995,U-27-95, ,RQR-30595;RQR-5169, ,14x48,0,300, ,1,APN,HIGH,Matched via APN/PARCEL exact join,753845,0.49500000000000005,0.51,701,0,16302104001,701,701,163,02,1,04,001,213,2519-13,2519,2905,22083.86182,3009,C,10,3,4,542,,161583.3057,1,0,83,11202.31054,17.50361022,89146,485346,213,FIELDS MARGARET C IRREVOCABLE TR,FIELDS MARGARET C TRS,3114 OAKHURST AVE,LOS ANGELES CA 90034, , , ,900340000, ,6651, ,W,CHARLESTON,BLVD,LV, , , ,PM00610022        L3, ,PARCEL MAP FILE 61 PAGE 22,LOT 3, , , , ,2027,2021,20210723, ,2.02107E+12, ,NS,2770000,U,20210701, , , ,02,21,60,365000,1, ,1,169897, ,0,0,107590, ,0, ,0, ,0, ,0,0,160955,109145,0, ,0,0,0,0,0, ,0,0,0,N,20231117,20231117,0, ,16302104001,0, ,163,16302,163021,16302104,163,163021040,021,040,01,90034,0,006651   W CHARLESTON            BLVDL,0221  60,0061,0022,FIELDS MARGARET C IRREVOCABLE TRFIELDS MARGARET C TRS           3114 OAKHURST AVE               LOS ANGELES CA 90034,006651   W CHARLESTON            BLVD, ,365,579.5414079,21581.65039,579.5044251845923
